code;name
471;Cooperativa Agropecuaria Pujato Ltda.
476;Cooperativa Agropecuaria La Federación Ltda.
478;Cooperativa Agrícola Ganadera de Justiniano Posse Ltda.
479;Cooperativa Agrícola Ganadera Bouquet Ltda.
480;Cooperativa Agropecuaria de Producción y Consumo Santa Lucia Ltda.
481;Cooperativa Federal Agrícola Ganadera de María Susana Ltda.
482;Cooperativa Agropecuaria Federada de Alvarez y Piñero
486;Cooperativa Agrícola Ganadera Los Cóndores Ltda.
487;Cooperativa Agropecuaria de Carlos Casado Ltda.
488;Cooperativa Ganadera de Cañada de Ucle
489;Cooperativa Agrícola Ganadera Carreras Ltda.
490;Cooperativa Agropecuaria de Coronel Bogado Ltda.
491;Cooperativa Agrícola Ganadera Federada de Villa Cañás Ltda.
492;Cooperativa Agrícola Tambera de James Craik Ltda.
495;Cooperativa Agrícola Ganadera de Rauch Ltda.
496;Cooperativa Agrícola Ganadera de Tandil y Vela Ltda.
498;Cooperativa Agrícola Ganadera La Unión Ltda.
499;Cooperativa de Tamberos y Agrícola Ganadera La Industrial Argentina
500;Cooperativa Agrícola Ganadera Esteban Piacenza de Alta Italia Ltda.
501;Asociación Unión Tamberos Cooperativa Limitadas
505;Cooperativa Agrícola Ganadera Leones Ltda.
506;Cooperativa Agrícola Ganadera León Sola Ltda.
507;Cooperativa Agropecuaria de La Paz Ltda.
508;Cooperativa Federal Agrícola Ganadera de Urdinarrain Ltda.
509;Cooperativa Agrícola Mixta La Protectora Ltda.
510;Cooperativa Agropecuaria de Bombal Ltda.
516;Cooperativa Agrícola Ganadera Bernardo de Irigoyen
